date,location,fatalities,state,activity,comments
1999-05-14,Blue Lake area near Sitka,1,AK,OTHER,"2 hikers caught, 1 killed"
1999-04-30,"University Range in Wrangell-St. Elias National Park, Ultima Thule Peak ",1,AK,OTHER,"3 climbers caught, 1 buried, and killed"
1999-04-27,"Mount McGinnis, near Juneau",1,AK,SNOWBOARD,"1 snowboarder, caught, buried, and killed"
1999-04-16,Talkeetna Mountains near Cantwell,1,AK,SNOWMOBILE,"7 snowmobilers caught, 3 injured, 1 dead, 6 machines damaged"
1999-04-15,Cordova,1,AK,OTHER,"Construction worker caught, buried and killed"
1999-04-07,Near Ophir in SW Colorado,1,CO,SKI,"1 skier caught, buried, and killed"
1999-04-03,"Chugach Mtns.; South of Eureka, AK",1,AK,SNOWMOBILE,"2 snowmobilers caught, 1 buried, and killed."
1999-04-02,"Wood Camp Hollow, Logan Canyon", ,UT,SKI,1 skier caught
1999-03-21,Powerline Pass in Chugach State Park, ,AK,SNOWMOBILE,"3 snowmobilers caught, 2 buried"
1999-03-21,"TURNAGAIN PASS, Alaska",6,AK,SNOWMOBILE,"10 snowmobilers caught, 6 buried, and killed, 3 injured"
1999-03-21,"Sping Canyon, near Coalville", ,UT,SNOWMOBILE,"1 snowmobiler caught, leg broken"
1999-03-15,"Rainbow Mountain, near Whistler", ,BC,SKI,"1 heli-ski guide caught, buried, and injured"
1999-03-12,Alyeska Ski Resort, ,AK,SKI,2 skiers caught and partially buried in large slide
1999-03-06,"Arasta Creek, in the Gravelly Range", ,MT,SNOWMOBILE,"2 snowmobilers caught, 1 buried, blue, and very lucky"
1999-02-27,Kokanee Provincial Park, ,BC,SKI,"3 backcountry skiers caught, and injured"
1999-02-20,Portneuf Range Caribou National Forest, ,ID,SKI,1 skier caught and injured
1999-02-14,Near Mt. Baker,2,WA,SNOWBOARD,"1 snowboarder dead; 1 skier caught,buried-still missing and presumed dead"
1999-02-10,Hailey, ,ID,OTHER,"Park damaged, deer herd killed"
